序號	書中頁碼	圖上頁碼	地圖編號	地圖名稱	分冊信息	收錄圖冊	圖番（請求圖番）	收錄圖域	所載索引圖	地區	攝影時間	測圖、測量時間	測圖時間2（製版）	測圖者	修正時間	縮圖時間	製圖時間	製版時間	製版者	製印時間	印刷時間	複製時間	複製者	調製時間	調製者	發行時間	發行者	比例尺	ps	WKT
2030	280		C2030	百福圖	第一冊	中國大陸五萬分之一地圖集成	北支那64號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治42年												POLYGON((116.980571 39.764051,116.980571 39.949847,117.266253 39.949847,117.266253 39.764051,116.980571 39.764051))
2031	281		C2031	香河	第一冊	中國大陸五萬分之一地圖集成	北清65號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.980019 39.58201,116.980019 39.766681,117.263876 39.766681,117.263876 39.58201,116.980019 39.58201))
2032	281		C2032	崔黃口鎮	第一冊	中國大陸五萬分之一地圖集成	北支那66號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.980273 39.398663,116.980273 39.584064,117.264921 39.584064,117.264921 39.398663,116.980273 39.398663))
2033	281		C2033	楊村	第一冊	中國大陸五萬分之一地圖集成	北清67號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.980769 39.21811,116.980769 39.400605,117.264099 39.400605,117.264099 39.21811,116.980769 39.21811))
2034	281		C2034	天津	第一冊	中國大陸五萬分之一地圖集成	北支那68號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（增補改版）								明治41年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.980773 39.034383,116.980773 39.219835,117.264935 39.219835,117.264935 39.034383,116.980773 39.034383))
2035	281		C2035	密雲	第一冊	中國大陸五萬分之一地圖集成	北支那69號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治42年								明治42年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692351 40.314812,116.692351 40.50067,116.981956 40.50067,116.981956 40.314812,116.692351 40.314812))
2036	281		C2036	峪口鎮	第一冊	中國大陸五萬分之一地圖集成	北支那70號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治42年								明治42年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692852 40.132922,116.692852 40.315421,116.981945 40.315421,116.981945 40.132922,116.692852 40.132922))
2037	281		C2037	楊各莊	第一冊	中國大陸五萬分之一地圖集成	北支那71號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治42年								明治42年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692726 39.947482,116.692726 40.134338,116.982057 40.134338,116.982057 39.947482,116.692726 39.947482))
2038	281		C2038	夏店	第一冊	中國大陸五萬分之一地圖集成	北支那72號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治42年		明治44年（增補改版）								明治41年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692624 39.76427,116.692624 39.94997,116.982567 39.94997,116.982567 39.76427,116.692624 39.76427))
2039	281		C2039	安平	第一冊	中國大陸五萬分之一地圖集成	北支那73號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692599 39.581985,116.692599 39.765747,116.981505 39.765747,116.981505 39.581985,116.692599 39.581985))
2040	281		C2040	渤海所	第一冊	中國大陸五萬分之一地圖集成	北支那74號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413524 40.314932,116.413524 40.50069,116.693963 40.50069,116.693963 40.314932,116.413524 40.314932))
2041	282		C2041	懷柔	第一冊	中國大陸五萬分之一地圖集成	北支那75號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.412421 40.131928,116.412421 40.317045,116.694673 40.317045,116.694673 40.131928,116.412421 40.131928))
2042	282		C2042	順儀	第一冊	中國大陸五萬分之一地圖集成	北支那76號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.412642 39.947142,116.412642 40.134173,116.693399 40.134173,116.693399 39.947142,116.412642 39.947142))
2043	282		C2043	通州	第一冊	中國大陸五萬分之一地圖集成	北支那77號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.412783 39.764966,116.412783 39.949464,116.693056 39.949464,116.693056 39.764966,116.412783 39.764966))
2044	282		C2044	北京	第一冊	中國大陸五萬分之一地圖集成	北支那81號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治43年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.115855 39.764965,116.115855 39.948943,116.413935 39.948943,116.413935 39.764965,116.115855 39.764965))
2045	282		C2045	黃村	第一冊	中國大陸五萬分之一地圖集成	北支那82號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治43年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.115856 39.58208,116.115856 39.765573,116.414144 39.765573,116.414144 39.58208,116.115856 39.58208))
2046	282		C2046	榆垡	第一冊	中國大陸五萬分之一地圖集成	北支那83號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治43年						明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.115462 39.399574,116.115462 39.582891,116.41425 39.582891,116.41425 39.399574,116.115462 39.399574))
2047	282		C2047	牛頭鎮	第一冊	中國大陸五萬分之一地圖集成	北支那84號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市								明治44年								明治44年	陸地測量部/參謀本部	1:50000		POLYGON((116.115753 39.218049,116.115753 39.399931,116.413911 39.399931,116.413911 39.218049,116.115753 39.218049))
2048	282		C2048	霸州	第一冊	中國大陸五萬分之一地圖集成	北支那85號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市								明治44年								明治44年	陸地測量部/參謀本部	1:50000		POLYGON((116.115648 39.034336,116.115648 39.219575,116.413882 39.219575,116.413882 39.034336,116.115648 39.034336))
2049	282		C2049	保定縣	第一冊	中國大陸五萬分之一地圖集成	北支那86號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（增補仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.116092 38.853769,116.116092 39.035609,116.414796 39.035609,116.414796 38.853769,116.116092 38.853769))
2050	282		C2050	大會厰	第一冊	中國大陸五萬分之一地圖集成	北支那90號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治43年						明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.836039 39.76409,115.836039 39.948553,116.117165 39.948553,116.117165 39.76409,115.836039 39.76409))
2051	283		C2051	良鄉	第一冊	中國大陸五萬分之一地圖集成	北支那91號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治42年						明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.836087 39.582496,115.836087 39.765988,116.117091 39.765988,116.117091 39.582496,115.836087 39.582496))
2052	283		C2052	涿州	第一冊	中國大陸五萬分之一地圖集成	北支那92號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市		明治43年						明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.835636 39.399417,115.835636 39.58382,116.116691 39.58382,116.116691 39.399417,115.835636 39.399417))
2053	283		C2053	新城	第一冊	中國大陸五萬分之一地圖集成	北支那93號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市								明治44年（仿製版）								明治44年	陸地測量部/參謀本部	1:50000		POLYGON((115.836087 39.21809,115.836087 39.400007,116.116447 39.400007,116.116447 39.21809,115.836087 39.21809))
2054	283		C2054	白溝河鎮	第一冊	中國大陸五萬分之一地圖集成	北支那94號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（增補仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.835887 39.034335,115.835887 39.219913,116.116668 39.219913,116.116668 39.034335,115.835887 39.034335))
2055	283		C2055	雄縣	第一冊	中國大陸五萬分之一地圖集成	北支那95號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.836209 38.853403,115.836209 39.036099,116.117087 39.036099,116.117087 38.853403,115.836209 38.853403))
2056	283		C2056	定興縣	第一冊	中國大陸五萬分之一地圖集成	北支那101號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市								明治44年（仿製版）								明治44年	陸地測量部/參謀本部	1:50000		POLYGON((115.553569 39.218381,115.553569 39.39993,115.837052 39.39993,115.837052 39.218381,115.553569 39.218381))
2057	283		C2057	容城縣	第一冊	中國大陸五萬分之一地圖集成	北支那102號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.553967 39.034788,115.553967 39.218813,115.8373 39.218813,115.8373 39.034788,115.553967 39.034788))
2058	283		C2058	安肅縣	第一冊	中國大陸五萬分之一地圖集成	北支那103號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.553389 38.85361,115.553389 39.03567,115.836727 39.03567,115.836727 38.85361,115.553389 38.85361))
2059	283		C2059	保定府	第一冊	中國大陸五萬分之一地圖集成	北清111號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((115.271007 38.853926,115.271007 39.035512,115.554593 39.035512,115.554593 38.853926,115.271007 38.853926))
2060	283		C2060	大沽	第一冊	中國大陸五萬分之一地圖集成	北支那124號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((117.555026 38.853597,117.555026 39.036531,117.836505 39.036531,117.836505 38.853597,117.555026 38.853597))
2061	284		C2061	鹹水沽	第一冊	中國大陸五萬分之一地圖集成	北清127號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((117.263286 38.853388,117.263286 39.036992,117.556706 39.036992,117.556706 38.853388,117.263286 38.853388))
2062	284		C2062	良王莊	第一冊	中國大陸五萬分之一地圖集成	北支那130號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.979872 38.852372,116.979872 39.037128,117.265023 39.037128,117.265023 38.852372,116.979872 38.852372))
2063	284		C2063	武清縣	第一冊	中國大陸五萬分之一地圖集成	北支那133號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692671 39.399577,116.692671 39.584303,116.981703 39.584303,116.981703 39.399577,116.692671 39.399577))
2064	284		C2064	南香口	第一冊	中國大陸五萬分之一地圖集成	北支那134號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692448 39.217756,116.692448 39.400144,116.981634 39.400144,116.981634 39.217756,116.692448 39.217756))
2065	284		C2065	勝芳鎮	第一冊	中國大陸五萬分之一地圖集成	北支那135號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692802 39.035044,116.692802 39.218792,116.981073 39.218792,116.981073 39.035044,116.692802 39.035044))
2066	284		C2066	靜海縣	第一冊	中國大陸五萬分之一地圖集成	北支那136號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.692475 38.852968,116.692475 39.035669,116.981302 39.035669,116.981302 38.852968,116.692475 38.852968))
2067	284		C2067	馬駒橋	第一冊	中國大陸五萬分之一地圖集成	北支那140號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413178 39.582575,116.413178 39.765514,116.693377 39.765514,116.693377 39.582575,116.413178 39.582575))
2068	284		C2068	鳳河營	第一冊	中國大陸五萬分之一地圖集成	北支那141號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413474 39.399458,116.413474 39.582986,116.6937 39.582986,116.6937 39.399458,116.413474 39.399458))
2069	284		C2069	永清縣	第一冊	中國大陸五萬分之一地圖集成	北支那142號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（增補仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413301 39.217753,116.413301 39.40038,116.693376 39.40038,116.693376 39.217753,116.413301 39.217753))
2070	284		C2070	信安鎮	第一冊	中國大陸五萬分之一地圖集成	北支那143號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治42年		明治44年（增補仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413082 39.033944,116.413082 39.21992,116.69451 39.21992,116.69451 39.033944,116.413082 39.033944))
2071	285		C2071	蘇橋鎮	第一冊	中國大陸五萬分之一地圖集成	北支那144號		河北省·北京市·天津市索引圖2	河北省·北京市·天津市						明治43年		明治44年（仿製版）								明治44年	清國駐屯軍司令部/陸地測量部/參謀本部	1:50000		POLYGON((116.413302 38.853397,116.413302 39.035397,116.693379 39.035397,116.693379 38.853397,116.413302 38.853397))
2072	285		C2072	臨榆縣	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德3號		河北省·北京市·天津市索引圖1、遼寧省索引圖1	河北省·北京市·天津市、遼寧省		中華民國11年乃至同18年		東三省陸軍測量局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((119.726414 39.948333,119.726414 40.115832,120.001061 40.115832,120.001061 39.948333,119.726414 39.948333))
2073	285		C2073	義院口	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德7號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國6年乃至同18年		直隸陸軍測量局				昭和7年								昭和7年	陸地測量部/參謀本部	1:50000		POLYGON((119.454043 40.11523,119.454043 40.282497,119.728455 40.282497,119.728455 40.11523,119.454043 40.11523))
2074	285		C2074	抱榆槐	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德22號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國11年乃至同18年		東三省陸軍測量局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.636012 40.114282,118.636012 40.282644,118.909774 40.282644,118.909774 40.114282,118.636012 40.114282))
2075	285		C2075	遷安縣	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德23號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國11年乃至同18年		全國陸軍測量局				昭和7年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.634713 39.948117,118.634713 40.116203,118.909949 40.116203,118.909949 39.948117,118.634713 39.948117))
2076	285		C2076	龍鬚門	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德24號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市								昭和10年									大日本帝國陸地測量部	1:50000		POLYGON((118.363463 40.615432,118.363463 40.782415,118.638677 40.782415,118.638677 40.615432,118.363463 40.615432))
2077	285		C2077	牛心山	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德26號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國11年乃至同18年		直隸陸軍測量局				昭和7年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.36336 40.281778,118.36336 40.449044,118.637072 40.449044,118.637072 40.281778,118.36336 40.281778))
2078	285		C2078	太平寨	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖承德27號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國11年乃至同18年		東三省陸軍測量局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.363108 40.114807,118.363108 40.283021,118.637123 40.283021,118.637123 40.114807,118.363108 40.114807))
2079	285		C2079	昌黎縣	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖永平8號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國16年		全國陸軍測量局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.908657 39.614414,118.908657 39.782817,119.182222 39.782817,119.182222 39.614414,118.908657 39.614414))
2080	285		C2080	施各莊	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖永平9號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國11年乃至同18年		全國陸軍測量局				昭和7年								昭和7年	陸地測量部/參謀本部	1:50000		POLYGON((118.908608 39.448511,118.908608 39.615731,119.182964 39.615731,119.182964 39.448511,118.908608 39.448511))
2081	286		C2081	大黑坨	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖永平10號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國16年		全國陸軍測繪總局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.908308 39.281479,118.908308 39.449163,119.182147 39.449163,119.182147 39.281479,118.908308 39.281479))
2082	286		C2082	大曹莊	第一冊	中國大陸五萬分之一地圖集成	仿製北支那五萬分一圖永平11號		河北省·北京市·天津市索引圖1	河北省·北京市·天津市		中華民國16年		全國陸軍測繪總局				昭和8年								昭和8年	陸地測量部/參謀本部	1:50000		POLYGON((118.908464 39.114213,118.908464 39.282957,119.182601 39.282957,119.182601 39.114213,118.908464 39.114213))
2084	286		C2084	土山鎮	第一冊	中國大陸五萬分之一地圖集成	北支那五萬分一圖淮安96號		江蘇省·上海市索引圖1	江蘇省·上海市																		1:50000		POLYGON((117.631995 34.071926,117.631995 34.242363,117.878942 34.242363,117.878942 34.071926,117.631995 34.071926))
2085	286		C2085	唐安鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分一北支那空中寫真測量要圖山西省高平縣翼城縣間1號		山西省索引圖3	山西省	昭和15年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((112.565852 35.635013,112.565852 35.804842,112.824809 35.804842,112.824809 35.635013,112.565852 35.635013))
2086	286		C2086	端氏鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分一北支那空中寫真測量要圖山西省高平縣翼城縣間2號		山西省索引圖3	山西省	昭和15年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((112.309328 35.634831,112.309328 35.804597,112.566942 35.804597,112.566942 35.634831,112.309328 35.634831))
2087	286		C2087	沁水	第一冊	中國大陸五萬分之一地圖集成	五萬分一北支那空中寫真測量要圖山西省高平縣翼城縣間3號		山西省索引圖3	山西省	昭和15年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((112.063093 35.634953,112.063093 35.804395,112.310583 35.804395,112.310583 35.634953,112.063093 35.634953))
2088	286		C2088	隆化鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分一北支那空中寫真測量要圖山西省高平縣翼城縣間4號		山西省索引圖3	山西省	昭和15年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((111.816876 35.634473,111.816876 35.805103,112.064527 35.805103,112.064527 35.634473,111.816876 35.634473))
2089	286		C2089	翼城	第一冊	中國大陸五萬分之一地圖集成	五萬分一北支那空中寫真測量要圖山西省高平縣翼城縣間5號		山西省索引圖3	山西省	昭和15年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((111.572506 35.635073,111.572506 35.804617,111.817396 35.804617,111.817396 35.635073,111.572506 35.635073))
2090	286		C2090	曹甸鎮	第一冊	中國大陸五萬分之一地圖集成	（空中寫真測量）中支那五萬分一淮安20號		江蘇省·上海市索引圖2	江蘇省·上海市	昭和15年	昭和17年空中寫真測量														昭和18年	陸地測量部/參謀本部	1:50000		POLYGON((119.363103 33.304911,119.363103 33.477957,119.598219 33.477957,119.598219 33.304911,119.363103 33.304911))
2091	287		C2091	平橋鎮	第一冊	中國大陸五萬分之一地圖集成	（空中寫真測量）中支那五萬分一淮安30號		江蘇省·上海市索引圖2	江蘇省·上海市	昭和15年	昭和17年空中寫真測量														昭和18年	陸地測量部/參謀本部	1:50000		POLYGON((119.128932 33.306189,119.128932 33.476611,119.364456 33.476611,119.364456 33.306189,119.128932 33.306189))
2092	287		C2092	順河集	第一冊	中國大陸五萬分之一地圖集成	（空中寫真測量）中支那五萬分一淮安40號		江蘇省·上海市索引圖2	江蘇省·上海市	昭和15年	昭和17年空中寫真測量														昭和18年	陸地測量部/參謀本部	1:50000		POLYGON((118.879831 33.305762,118.879831 33.477098,119.130102 33.477098,119.130102 33.305762,118.879831 33.305762))
2093	287		C2093	高良澗	第一冊	中國大陸五萬分之一地圖集成	（空中寫真測量）中支那五萬分一淮安50號		江蘇省·上海市索引圖2	江蘇省·上海市	昭和15年	昭和17年空中寫真測量														昭和18年	陸地測量部/參謀本部	1:50000		POLYGON((118.658959 33.306272,118.658959 33.476916,118.880739 33.476916,118.880739 33.306272,118.658959 33.306272))
2094	287		C2094	高隍廟	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖2號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和16年	陸地測量部/參謀本部	1:50000		POLYGON((116.18537 33.053955,116.18537 33.225196,116.437401 33.225196,116.437401 33.053955,116.18537 33.053955))
2095	287		C2095	関疃集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖3號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((116.18539 32.895576,116.18539 33.05607,116.453691 33.05607,116.453691 32.895576,116.18539 32.895576))
2096	287		C2096	展溝集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖4號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((116.185435 32.731176,116.185435 32.896846,116.437496 32.896846,116.437496 32.731176,116.185435 32.731176))
2097	287		C2097	王市集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖6號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.947256 33.054582,115.947256 33.224952,116.186667 33.224952,116.186667 33.054582,115.947256 33.054582))
2098	287		C2098	插花廟	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖7號		安徽省索引圖2	安徽省	昭和14年	昭和15年						昭和16年（增補改版）								昭和16年	陸地測量部/參謀本部	1:50000		POLYGON((115.946951 32.895082,115.946951 33.055618,116.186626 33.055618,116.186626 32.895082,115.946951 32.895082))
2099	287		C2099	口子集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖8號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.946601 32.731529,115.946601 32.896418,116.186402 32.896418,116.186402 32.731529,115.946601 32.731529))
2100	287		C2100	黃崗寺	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖10號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.697243 33.054084,115.697243 33.225338,115.948122 33.225338,115.948122 33.054084,115.697243 33.054084))
2101	288		C2101	行流集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖11號		安徽省索引圖2	安徽省	昭和14年	昭和15年						昭和16年（增補改版）								昭和16年	陸地測量部/參謀本部	1:50000		POLYGON((115.697149 32.895613,115.697149 33.055707,115.948029 33.055707,115.948029 32.895613,115.697149 32.895613))
2102	288		C2102	穎州	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖12號		安徽省索引圖2	安徽省	昭和14年	昭和15年						昭和16年（增補改版）								昭和16年	陸地測量部/參謀本部	1:50000		POLYGON((115.697104 32.731547,115.697104 32.896456,115.947661 32.896456,115.947661 32.731547,115.697104 32.731547))
2103	288		C2103	大場集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖13號		安徽省索引圖2	安徽省	昭和14年	昭和15年						昭和16年（增補改版）								昭和16年	陸地測量部/參謀本部	1:50000		POLYGON((115.697358 32.565278,115.697358 32.732734,115.947799 32.732734,115.947799 32.565278,115.697358 32.565278))
2104	288		C2104	太和	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖14號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.433247 33.054727,115.433247 33.224709,115.698168 33.224709,115.698168 33.054727,115.433247 33.054727))
2105	288		C2105	襄家埠	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖15號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.433123 32.895348,115.433123 33.055219,115.698021 33.055219,115.698021 32.895348,115.433123 32.895348))
2106	288		C2106	新村集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖16號		安徽省索引圖2	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.43332 32.731666,115.43332 32.896474,115.698242 32.896474,115.698242 32.731666,115.43332 32.731666))
2107	288		C2107	小田市集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖17號		安徽省索引圖1	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.433393 32.565733,115.433393 32.732295,115.698415 32.732295,115.698415 32.565733,115.433393 32.565733))
2108	288		C2108	沈邱集	第一冊	中國大陸五萬分之一地圖集成	五萬分一安徽省太和穎州地方空中寫真測量要圖18號		安徽省索引圖1	安徽省	昭和14年	昭和15年														昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((115.197236 33.054708,115.197236 33.240871,115.433534 33.240871,115.433534 33.054708,115.197236 33.054708))
